#format: x0, y0, x1, y1,  cx, cy, rx, ry,   angle,  label #classname
102	205	387	158	 244.0	181.0	144.4	57.1	-9.4	5  #Bigeye_tuna
59	295	396	266	 227.0	280.0	169.1	55.4	-4.9	5  #Bigeye_tuna
231	406	561	283	 396.0	344.0	176.1	63.3	-20.4	5  #Bigeye_tuna
367	228	679	211	 523.0	219.0	156.2	45.4	-3.1	5  #Bigeye_tuna
289	57	592	152	 440.0	104.0	158.8	56.0	17.4	5  #Bigeye_tuna
24	70	285	114	 154.0	92.0	132.3	49.9	9.6	5  #Bigeye_tuna
19	511	227	324	 123.0	417.0	139.9	39.0	-42.0	5  #Bigeye_tuna
246	492	554	442	 400.0	467.0	156.0	49.7	-9.2	5  #Bigeye_tuna
582	529	694	245	 638.0	387.0	152.6	53.6	-68.5	5  #Bigeye_tuna
#num_objects = 9
